element #,waveln. At elem cent.
1,347.4869768
2,348.2727096
3,349.0572025
4,349.8404594
5,350.6224842
6,351.4032808
7,352.1828531
8,352.961205
9,353.7383406
10,354.5142636
11,355.288978
12,356.0624878
13,356.8347969
14,357.6059091
15,358.3758284
16,359.1445587
17,359.912104
18,360.6784682
19,361.4436551
20,362.2076688
21,362.9705131
22,363.7321919
23,364.4927093
24,365.252069
25,366.010275
26,366.7673313
27,367.5232417
28,368.2780102
29,369.0316408
30,369.7841372
31,370.5355035
32,371.2857436
33,372.0348613
34,372.7828607
35,373.5297456
36,374.27552
37,375.0201877
38,375.7637527
39,376.506219
40,377.2475904
41,377.9878709
42,378.7270643
43,379.4651747
44,380.2022059
45,380.9381618
46,381.6730464
47,382.4068636
48,383.1396173
49,383.8713115
50,384.60195
51,385.3315368
52,386.0600758
53,386.7875709
54,387.5140261
55,388.2394452
56,388.9638322
57,389.687191
58,390.4095256
59,391.1308398
60,391.8511376
61,392.5704229
62,393.2886996
63,394.0059716
64,394.7222429
65,395.4375174
66,396.151799
67,396.8650916
68,397.5773992
69,398.2887256
70,398.9990748
71,399.7084507
72,400.4168573
73,401.1242984
74,401.830778
75,402.5363
76,403.2408683
77,403.9444869
78,404.6471596
79,405.3488904
80,406.0496832
81,406.7495419
82,407.4484705
83,408.1464729
84,408.8435529
85,409.5397146
86,410.2349618
87,410.9292985
88,411.6227285
89,412.3152558
90,413.0068844
91,413.6976181
92,414.3874609
93,415.0764166
94,415.7644893
95,416.4516828
96,417.138001
97,417.823448
98,418.5080275
99,419.1917435
100,419.8746
101,420.5566008
102,421.2377499
103,421.9180513
104,422.5975087
105,423.2761262
106,423.9539077
107,424.630857
108,425.3069782
109,425.9822751
110,426.6567516
111,427.3304117
112,428.0032593
113,428.6752984
114,429.3465328
115,430.0169664
116,430.6866032
117,431.3554472
118,432.0235021
119,432.690772
120,433.3572608
121,434.0229724
122,434.6879107
123,435.3520796
124,436.015483
125,436.678125
126,437.3400094
127,438.00114
128,438.6615209
129,439.321156
130,439.9800492
131,440.6382044
132,441.2956255
133,441.9523164
134,442.6082812
135,443.2635236
136,443.9180476
137,444.5718572
138,445.2249563
139,445.8773487
140,446.5290384
141,447.1800293
142,447.8303254
143,448.4799306
144,449.1288487
145,449.7770838
146,450.4246397
147,451.0715203
148,451.7177297
149,452.3632716
150,453.00815
151,453.6523689
152,454.2959321
153,454.9388436
154,455.5811074
155,456.2227272
156,456.8637071
157,457.504051
158,458.1437627
159,458.7828463
160,459.4213056
161,460.0591446
162,460.6963671
163,461.3329771
164,461.9689786
165,462.6043754
166,463.2391715
167,463.8733707
168,464.5069771
169,465.1399945
170,465.7724268
171,466.404278
172,467.035552
173,467.6662527
174,468.2963841
175,468.92595
176,469.5549544
177,470.1834012
178,470.8112943
179,471.4386377
180,472.0654352
181,472.6916908
182,473.3174084
183,473.942592
184,474.5672454
185,475.1913726
186,475.8149775
187,476.438064
188,477.060636
189,477.6826975
190,478.3042524
191,478.9253046
192,479.545858
193,480.1659166
194,480.7854842
195,481.4045648
196,482.0231623
197,482.6412807
198,483.2589238
199,483.8760956
200,484.4928
201,485.1090409
202,485.7248223
203,486.340148
204,486.955022
205,487.5694482
206,488.1834305
207,488.7969729
208,489.4100793
209,490.0227535
210,490.6349996
211,491.2468214
212,491.8582229
213,492.4692079
214,493.0797804
215,493.6899444
216,494.2997037
217,494.9090623
218,495.518024
219,496.1265929
220,496.7347728
221,497.3425676
222,497.9499814
223,498.5570179
224,499.1636811
225,499.769975
226,500.3759034
227,500.9814703
228,501.5866797
229,502.1915353
230,502.7960412
231,503.4002013
232,504.0040194
233,504.6074996
234,505.2106457
235,505.8134616
236,506.4159513
237,507.0181187
238,507.6199678
239,508.2215024
240,508.8227264
241,509.4236438
242,510.0242586
243,510.6245745
244,511.2245956
245,511.8243258
246,512.423769
247,513.0229291
248,513.62181
249,514.2204156
250,514.81875
251,515.416817
252,516.0146204
253,516.6121643
254,517.2094526
255,517.8064892
256,518.403278
257,518.9998229
258,519.5961278
259,520.1921968
260,520.7880336
261,521.3836422
262,521.9790266
263,522.5741907
264,523.1691383
265,523.7638734
266,524.3583999
267,524.9527218
268,525.546843
269,526.1407673
270,526.7344988
271,527.3280413
272,527.9213987
273,528.5145751
274,529.1075742
275,529.7004
276,530.2930565
277,530.8855475
278,531.477877
279,532.070049
280,532.6620672
281,533.2539357
282,533.8456584
283,534.4372391
284,535.0286819
285,535.6199906
286,536.2111692
287,536.8022215
288,537.3931515
289,537.9839632
290,538.5746604
291,539.1652471
292,539.7557271
293,540.3461045
294,540.9363831
295,541.5265668
296,542.1166596
297,542.7066654
298,543.2965881
299,543.8864317
300,544.4762
301,545.065897
302,545.6555266
303,546.2450927
304,546.8345993
305,547.4240502
306,548.0134494
307,548.6028008
308,549.1921084
309,549.781376
310,550.3706076
311,550.9598071
312,551.5489784
313,552.1381254
314,552.7272521
315,553.3163624
316,553.9054602
317,554.4945494
318,555.083634
319,555.6727178
320,556.2618048
321,556.8508989
322,557.4400041
323,558.0291242
324,558.6182632
325,559.207425
326,559.7966135
327,560.3858327
328,560.9750864
329,561.5643786
330,562.1537132
331,562.7430941
332,563.3325253
333,563.9220107
334,564.5115541
335,565.1011596
336,565.690831
337,566.2805723
338,566.8703873
339,567.46028
340,568.0502544
341,568.6403143
342,569.2304637
343,569.8207064
344,570.4110465
345,571.0014878
346,571.5920342
347,572.1826898
348,572.7734583
